name,address,city,state,zip_code,latitude,longitude,Discription,Accessible,Smooth,Elivators,Ramps,Sound,Brail,SightImpared,Bathrooms,single-entrance
Bowne Playground,Sanford Ave From Union To Bowne Sts,Flushing,NY,11355,40.7582,-73.8248,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
Breininger Park,Braddock Ave & 240 St,Bellerose,NY,11426,40.7258,-73.729,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,True,True,True,True,True,False,False,True,False
Breukelen Playground,LOUISIANA & FLATLANDS AVE,Brooklyn,NY,11207,40.6536,-73.8939,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
Brevoort Playground,W/s Ralph Ave Bet Sumpter & Chauncey Sts,Brooklyn,NY,11233,40.6805,-73.9227,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
Bridge And Tunnel Park,"Tunnel Plaza, 50 Ave, 11 St",Long Island City,NY,11101,40.7419,-73.9515,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
Bridge Playground,"Boscobel Pl, University Ave, W 171 St",Bronx,NY,10452,40.8443,-73.9242,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
Brighton Playground,W/s Brighton 2 St At Boardwalk,Brooklyn,NY,11235,40.5752,-73.9654,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,True,True,True,True,True,False,False,True,False
Broad Channel Park,"Cross Bay Blvd, 100 Pl, E 18 Rd, 203 Ave",Far Rockaway,NY,11693,40.601,-73.8198,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
Brower Park,BROOKLYN AVE & PROSPECT PL,Brooklyn,NY,11213,40.6735,-73.9436,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,True,True,True,True,True,False,False,True,False
Brower Park,BROOKLYN AVE & PROSPECT PL,Brooklyn,NY,11213,40.6741,-73.9432,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,True,True,True,True,True,False,False,True,False
Bruckner Playground/P.S. 183,"Phillips Ave, E 177 St",Bronx,NY,10465,40.8268,-73.8286,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,True,True,True,True,True,False,False,True,False
Bulova Park,"W/s 77 St, N/s 25 Ave",East Elmhurst,NY,11370,40.7631,-73.8922,Level 3: Accessible Playgrounds with Universally Accessible Swings,True,True,True,False,True,False,False,True,False
Burns Playground,"Mace, Lodovick & Gunther Aves",Bronx,NY,10469,40.8632,-73.8366,Level 3: Accessible Playgrounds with Universally Accessible Swings,True,True,True,False,True,False,False,True,False
Bush Clinton Park,"LORRAINE, CLINTON, HENRY STS",Brooklyn,NY,11231,40.6737,-74.0034,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
Buswhick Pool,"Flushing Ave, Bushwick Ave & Humboldt St",Brooklyn,NY,11206,40.7018,-73.9394,Level 3: Accessible Playgrounds with Universally Accessible Swings,True,True,True,False,True,False,False,True,False
Cadwallader Colden Playground,Union St & 31 Rd,Flushing,NY,11354,40.7702,-73.8272,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
Callahan-kelly Playground,"Fulton,truxton Sts, Van Sinderen Ave,eastern Pkwy",Brooklyn,NY,11233,40.6783,-73.9048,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
Calvert Vaux,BAY 44 & CROPSEY AVE,Brooklyn,NY,11214,40.5879,-73.9905,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
Capt Jacob Joseph Playground,Rutgers & Henry Sts,New York,NY,10002,40.7136,-73.9899,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,True,True,True,True,True,False,False,True,False
Captain Mario Fajardo Park,KISSENA BLVD & BOOTH MEM AVE,Flushing,NY,11355,40.7434,-73.8147,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
Carlton Park,"Foster, Carlton, Burchard Aves",Staten Island,NY,10309,40.5331,-74.2023,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
Carmansville Playground,"Amsterdam Ave, W 151 To W 152 Sts",New York,NY,10031,40.8292,-73.9442,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
Carroll Park,"Carroll, Court, President, Smith Sts",Brooklyn,NY,11231,40.6811,-73.9954,Level 3: Accessible Playgrounds with Universally Accessible Swings,True,True,True,False,True,False,False,True,False
Catbird Playground,EAST 84 ST & EAST END AVE,New York,NY,10028,40.7739,-73.9448,Level 3: Accessible Playgrounds with Universally Accessible Swings,True,True,True,False,True,False,False,True,False
Cauldwell Playground,"E 163 St, Cauldwell Ave, E 161 St, Eagle Ave",Bronx,NY,10456,40.8229,-73.9073,Level 3: Accessible Playgrounds with Universally Accessible Swings,True,True,True,False,True,False,False,True,False
Centerville Playground,"96 St, Centreville St & Albert Rd",Ozone Park,NY,11417,40.6703,-73.839,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,True,True,True,True,True,False,False,True,False
Century Playground,W Brighton Ave Bet W 2 & W 3 Sts,Brooklyn,NY,11224,40.577,-73.97,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
Challenge Playground,W/s 251 St Bet 61 & 63 Aves,Little Neck,NY,11362,40.7566,-73.728,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,True,True,True,True,True,False,False,True,False
Charlie's Place,"Hopkins To Ellery Streets, Tomkins To Throop Aves",Brooklyn,NY,11206,40.6991,-73.946,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
Charybdis Playground,SHORE BLVD OPP 23 AVE,Astoria,NY,11105,40.7798,-73.9224,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
Cherry Clinton Playground,"Clinton, Cherry & Water Sts",New York,NY,10002,40.7113,-73.9863,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
Chester Playground,"Chester St, Sutter Ave, Bristol St, Pitkin Ave",Brooklyn,NY,11212,40.6688,-73.9119,Level 3: Accessible Playgrounds with Universally Accessible Swings,True,True,True,False,True,False,False,True,False
Chiarantano Fields,"E 45-e 46 Sts, Glenwood To Farragut Rds",Brooklyn,NY,11203,40.6358,-73.9331,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
Claremont,W 124 ST & RIVERSIDE DR,New York,NY,10024,40.815,-73.9621,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
Classic Playground,Van Cortlandt Park South & Gouverneur Avenue,Bronx,NY,10471,40.8852,-73.8905,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
Classon Playground,Lafayette & Classon Aves,Brooklyn,NY,11205,40.6894,-73.9606,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
Cleopatra Playground,Anthony Ave & Prospect Pl,Bronx,NY,10457,40.8454,-73.9043,Level 2: Accessible Playgrounds with Ramped Play Equipment and/or Universally Accessible Swings,True,True,True,True,True,False,False,True,False
Clove Lakes Park Playground,CLOVE RD & CHESHIRE PL,Staten Island,NY,10301,40.6185,-74.106,Level 3: Accessible Playgrounds with Universally Accessible Swings,True,True,True,False,True,False,False,True,False
Coffey Park,"KING, RICHARDS & DWIGHT STS",Brooklyn,NY,11231,40.6768,-74.0087,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
Col Charles Young Playground,"W 145 To W 143 Sts, Lenox Ave, Harlem River Drive",New York,NY,10037,40.8193,-73.9357,Level 4: Accessible playgrounds with Transfer Platforms and Ground Level Play Features,True,True,True,False,True,False,False,True,False
